# generated_from=Riot Data Dragon 16.10.1
# key	en	zh_name	zh_title	aliases
Viego	Viego	破败之王	佛耶戈	
Viktor	Viktor	奥术先驱	维克托	
Vladimir	Vladimir	猩红收割者	弗拉基米尔	
Volibear	Volibear	不灭狂雷	沃利贝尔	
Warwick	Warwick	祖安怒兽	沃里克	
Xayah	Xayah	逆羽	霞	
Xerath	Xerath	远古巫灵	泽拉斯	
XinZhao	Xin Zhao	德邦总管	赵信	
Yasuo	Yasuo	疾风剑豪	亚索	
Yone	Yone	封魔剑魂	永恩	
Yorick	Yorick	牧魂人	约里克	
Yunara	Yunara	不破之誓	芸阿娜	
Yuumi	Yuumi	魔法猫咪	悠米	
Zaahen	Zaahen	不落魔锋	亚恒	
Zac	Zac	生化魔人	扎克	
Zed	Zed	影流之主	劫	
Zeri	Zeri	祖安花火	泽丽	
Ziggs	Ziggs	爆破鬼才	吉格斯	
Zilean	Zilean	时光守护者	基兰	
Zoe	Zoe	暮光星灵	佐伊	
Zyra	Zyra	荆棘之兴	婕拉	
